syntax,when_used,category,examples,who_says
(aircraft call sign) CLEARED TO.,"Clearances shall contain the following in the order listed:a) aircraft identification.b) clearance limit.c) route of flight.d) level(s) of flight for the entire route or part thereof and changes of levels if required.Note.- If the clearance for the levels covers only part of the route, it is important for the air traffic control unit to specify a point to which the part of the clearance regarding levels applies whenever necessary to ensure compliance with 3.6.5.2.2 a) of Annex 2.e) any necessary instructions or information on other matters such as SSR transponder operation, approach or departure manoeuvres, communications and the time of expiry of the clearance.Note.- The time of expiry of the clearance indicates the time after which the clearance will be automatically cancelled if the flight has not been started.","Area Control Services, General","LGL123 cleared to Oslo via Staby upper Tango three eight zero, flight planned route, FL320.",The Controller
"(aircraft call sign) LOW ALTITUDE WARNING, CHECK YOUR ALTITUDE IMMEDIATELY, QNH IS (number) [(units)]. [THE MINIMUM FLIGHT ALTITUDE IS (altitude)].",When an aircraft needs to be warned for low altitude.,Emergency or unusual situation,"LGL123 low altitude warning, check your altitude immediately, QNH is one zero zero zero the minimum flight altitude is one thousand five hundred feet.",The Controller
(aircraft call sign) NOT RELEASED [UNTIL (time or significant point)].,By approving unit when an aircraft can not be released until certain point or time.,Coordination between ATS Units,LGL123 is not released until passing GINKA.,The Controller
(aircraft call sign) RELEASED [AT (time)] [conditions/restrictions].,By approving unit when an aircraft is released.,Coordination between ATS Units,LGL123 released at time four two.,The Controller
(aircraft call sign) REQUEST APPROVED [(restriction if any)].,Approval requestSaid by approving unit,Coordination between ATS Units,LGL123 request approved.,The Controller
"(aircraft call sign) TERRAIN ALERT, (suggested pilot action, if possible).",Terrain alert,Emergency or unusual situation,LGL123 terrain alert turn left and climb immediately.,The Controller
(aircraft call sign) UNABLE (alternative instructions).,Approval request can not be approved as requested.Said by approving unit.,Coordination between ATS Units,LGL123 unable.,The Controller
(aircraft type) (destination).,"Receiving unit reply (if flight plan details are available to which sending unit replies with SSR code, estimate for significant point and level).",Coordination between ATS Units,Boeing seven three seven to Luxembourg.,The Controller
(aircraft type) (position) (level) INFORMATION (ATIS identification) FOR LANDING.,Inbound aircraft on initial contact when ATIS information is available.,"Aerodrome and Vicinity, Aircraft","SEABD Cessna one seven two Eneby two thousand feet, information Delta, for landing.",The Pilot
(aircraft type) REPORTED (description) ICING (or TURBULENCE) [IN CLOUD] (area) (time).,To relay received information about meteorological conditions.,General,Boeing seven three seven reported moderate icing in cloud during approach runway zero niner time four five.,The Controller
(condition) LINE UP (brief reiteration of the condition),This is a conditional clearance. Pilot Answers: (condition) LINING UP (brief reiteration of the condition). To which the Controller acknowledges: [THAT IS] CORRECT (or NEGATIVE) [I SAY AGAIN] ... (as appropriate).,Aerodrome and Vicinity,LGL123 behind landing airbus three ten line up behind.,The Controller
(distance) FROM TOUCHDOWN ALTITUDE (or HEIGHT) SHOULD BE (numbers and units).,Radar in approach control service.Surveillance radar approach.Elevation.,Approach Control Services,LGL123 one two nautical miles from touchdown altitude should be one thousand feet.,The Controller
(distance) FROM TOUCHDOWN.,Radar in approach control service.Surveillance radar approach.Position.,Approach Control Services,LG123 one two nautical miles from touchdown.,The Controller
(distance) FROM TOUCHDOWN.,Radar in approach control service.PAR Approach.Related to position information in PAR approach service.,Approach Control Services,LGL123 one two nautical miles from touchdown.,The Controller
(distance) FROM TOUCHDOWN. ALTITUDE (or HEIGHT) SHOULD BE (numbers and units).,Radar in approach control service.PAR Approach.Elevation.,Approach Control Services,LGL123 one two  nautical miles from touchdown altitude should be 1000 feet.,The Controller
"(manoeuvre, SQUAWK or IDENT) OBSERVED. POSITION (position of aircraft). [(instructions)].",Following a situation where loss of communication has been suspected and aircraft has been instructed to squawk ident.,General ATS Surveillance Service Phraseologies,LGL123 right turn observed. Position one two miles south of Skiro (SKI). Resume own navigation SKI.,The Controller
(name of unit) CLEARS (aircraft call sign).,"Clearances shall contain the following in the order listed:a) aircraft identification.b) clearance limit.c) route of flight.d) level(s) of flight for the entire route or part thereof and changes of levels if required.Note.— If the clearance for the levels covers only part of the route, it is important for the air traffic control unit to specify a point to which the part of the clearance regarding levels applies whenever necessary to ensure compliance with 3.6.5.2.2 a) of Annex 2.e) any necessary instructions or information on other matters such as SSR transponder operation, approach or departure manoeuvres, communications and the time of expiry of the clearance.Note.— The time of expiry of the clearance indicates the time after which the clearance will be automatically cancelled if the flight has not been started.","Area Control Services, General","Luxo Tower clears LGL123 to Malaga via Holly upper Tango two one five, flight planned route FL320.",The Controller
(number) METRES LEFT (or RIGHT) OF TRACK.,Radar in approach control service.Related to azimuth information in PAR approach service.,Approach Control Services,LGL123 one five meters left of track.,The Controller
"(position in circuit, e.g. DOWNWIND/FINAL).",In the circuit,"Aerodrome and Vicinity, Aircraft","SBC, final",The Pilot
(route) NOT AVAILABLE DUE (reason) ALTERNATIVE[S] IS/ARE (routes) ADVISE.,When part of route is not available,Area Control Services,"LGL123, Papa eight five one not available due to military activities. Alternatives are Mike seven seven seven or Papa eight one zero advise.",The Controller
(specify visual or non-visual aid) RUNWAY (number) (description of deficiency).,To inform pilots of operational status of visual and non-visual aids.,Aerodrome and Vicinity,LGL123 transmissometer runway zero niner unreliable.,The Controller
(standard departure name and number) DEPARTURE,To assign SID,"Approach Control Services, Aerodrome and Vicinity",LGL123 SKI three Bravo departure.,The Controller
(traffic information) RUNWAY (number) CLEARED FOR TAKE-OFF.,When reduced runway separation is used,Aerodrome and Vicinity,"LGL123, airbus three ten vacating runway runway zero niner, cleared for take off",The Controller
(traffic information) RUNWAY (number) CLEARED TO LAND.,To clear an aircraft for landing when reduced runway separation is used.,Aerodrome and Vicinity,LGL 123 airbus three ten vacating runway runway zero niner cleared to land.,The Controller
(type of visual approach slope indicator) RUNWAY (number) (description of deficiency).,To inform pilots of operational status of visual and non-visual aids.,Aerodrome and Vicinity,LGL123 PAPI runway zero niner unserviceable.,The Controller
(type) APPROACH NOT AVAILABLE DUE (reason) (alternative instructions).,Radar in approach control service.,Approach Control Services,LGL123 ILS approach not available due equipment failure vectoring for final runway zero niner.,The Controller
(type) LIGHTING (unserviceability).,To inform pilots of operational status of visual and non-visual aids.,Aerodrome and Vicinity,LGL123 stop bar lighting unserviceable.,The Controller
[(location)] RUNWAY SURFACE CONDITION RUNWAY (number) (condition).,To pass information on aerodrome conditions.,Aerodrome and Vicinity,Horn runway surface condition runway zero niner wet.,The Controller
[(location)] RUNWAY SURFACE CONDITION RUNWAY (number) NOT CURRENT.,When previously received information on aerodrome conditions is not current.,Aerodrome and Vicinity,Runway surface condition runway zero niner not current.,The Controller
[ADDITIONAL] TRAFFIC (direction) BOUND (type of aircraft) (level) ESTIMATED (or OVER) (significant point) AT (time).,"To pass traffic information.To acknowledge pilot answers (one of the following three): LOOKING OUT, TRAFFIC IN SIGHT, or NEGATIVE CONTACT [reasons].",General,LGL123 additional traffic north bound ATR four two at flight level two two zero over SKI at time four five.,The Controller
[AFTER DEPARTURE] TURN RIGHT (or LEFT) HEADING (three digits) (or CONTINUE RUNWAY HEADING) (or TRACK EXTENDED CENTRE LINE) TO (level or significant point) [(other instructions as required)].,To assign a route to follow after airborne.,"Approach Control Services, Aerodrome and Vicinity",LGL123 after departure turn right heading one eight zero to FL80.,The Controller
[aircraft location] REQUEST PUSHBACK.,"Note. - When local procedures so prescribe, authorization for pushback should be obtained from the control tower.","Aerodrome and Vicinity, Aircraft","LGL123 stand one four, request pushback.",The Pilot
